HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,HW10,HW11,HW12,HW13,Quiz1,Quiz2,Quiz3,Quiz4,Quiz5,Quiz6,Quiz7,Quiz8,Quiz9,Quiz10,Quiz11,Recitation1,Recitation2,Recitation3,Recitation4,Recitation5,Recitation7,Recitation8,Recitation9,Recitation11,Recitation12,Recitation13,Exam 1,Exam 2,Final Exam,Credit
8.333333333,53.47619048,73.33333333,21.25,14.28571429,92,60,52.91666667,21.66666667,51.04333333,45.83333333,53.5,77.75,10,7.5,8,8,6.666666667,5,3.333333333,10,10,10,10,1,1,1,1,1,1,0,1,0,1,1,50,99,75,C-
100,100,100,74.10714286,100,89,90,88.75,95,73.33333333,94.16833333,99.54545455,96.5,10,10,8,4,10,5,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,86.5,100,88,A
87.5,79.76190476,91.66666667,74.10714286,91.66666667,100,85,100,98.33333333,73.75333333,93.33333333,91.52954545,97.5,10,10,10,4,10,10,6.666666667,0,10,10,10,1,1,1,1,0,1,1,1,1,1,1,54,91,57,B-
39,90.90909091,95,100,100,58,40,31.66666667,57.5,20,30.55833333,41.66666667,73.75,10,4,5.454545455,4.5,10,0,10,3.33,7.5,2.5,5,1,1,1,0,0,0,0,0,0,0,0,77.8,71.81818182,66.95058593,C-
83,77.27272727,95,100,100,94,58.33333333,85,95.83333333,85,95,100,90,5,6,4.545454545,4,6.66666,6.67,10,3.33,0,0,0,1,1,0,1,0,0,1,0,0,1,0,83.7,63.63636364,72.06620186,C
93,90.90909091,100,100,100,0,72.66666667,9,0,95,91.66666667,95.83333333,0,4,8,0,6,0,0,10,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,73.1,90.90909091,68.60285228,C-
98,86.36363636,100,100,100,99,100,90,95.83333333,100,94.45,100,93.33333333,8,1,8.181818182,6.5,10,6.67,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,79.7,90.90909091,87.27458521,A
86,81.81818182,97,100,10.34,0,81.66666667,75,41.66666667,82.5,33.33333333,100,71,3,3,4.545454545,3.5,10,0,0,10,2.5,0,0,1,1,1,0,0,0,0,0,0,0,0,75.2,77.27272727,63.68274706,C-
85,90.90909091,98,0,0,79,78.33333333,73.33333333,74.16666667,80,92.225,95.83333333,79.75,3,8,7.272727273,9.5,10,6.67,10,6.67,0,10,0,0,1,1,0,1,1,1,0,1,1,1,73.8,84.54545455,78.82351519,B
78,63.63636364,98,100,100,100,80,65,87.83333333,90,94.45,91.66666667,90,2,4,8.181818182,5,10,3.33,10,10,10,10,5,1,1,1,1,0,1,1,0,0,0,1,68.6,89.09090909,78.4749949,B+
82,90.90909091,100,0,0,96,90,95,80,100,91.95,81.66666667,90,0,4,1.818181818,6.5,10,6.67,10,10,10,10,7.5,1,1,1,1,0,0,1,1,1,0,0,79.7,85.45454545,81.77303505,B+
63,45.45454545,96,57.14,0,87,15,71.66666667,86.66666667,85,90.7,88.33333333,90,0,0,4.545454545,3.5,0,6.67,0,0,0,0,7.5,0,1,0,0,1,1,0,0,0,0,0,74.8,86.36363636,69.81041174,C-
65,77.27272727,93,100,100,79,61.66666667,70,90,87.5,92.5,77.5,86.66666667,10,10,7.272727273,8.5,10,10,10,6.67,0,10,2.5,0,1,1,1,1,0,1,1,1,0,0,86,90.90909091,77.7249949,A-
98,100,98,100,100,95,91.66666667,95,98.33333333,95,92.5,100,96.66666667,10,1,5.454545455,5.5,10,6.67,10,3.33,10,10,5,1,1,1,1,1,1,1,0,1,1,1,77.5,91.81818182,74.17174773,A-
95,77.27272727,98,100,100,93,98.33333333,83.33333333,92.5,100,83.33333333,81.25,96.66666667,5,1,3.636363636,5.5,10,6.67,10,10,10,10,10,1,1,1,0,0,1,1,1,1,1,1,71.8,89.09090909,68.83012811,B+
87,77.27272727,99,0,0,0,20,0,0,56.66666667,0,0,0,5,3,2.727272727,1,10,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,74.8,78.18181818,0,F
95,95.45454545,100,0,0,100,90,93.33333333,100,100,100,93.75,93.33333333,10,0,3.636363636,8.5,10,6.67,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,0,80,90,78.48304841,A-
79,100,96,100,100,95,90,95,95,95,97.5,85.41666667,88.33333333,8,2,1.818181818,8,10,6.67,10,6.67,10,10,7.5,1,1,1,1,1,1,1,1,1,1,0,82.8,90.90909091,76.91936776,A-
86,90.90909091,97,100,100,93,88.33333333,85,90.83333333,90,94.725,95,90,8,1,4.545454545,4.5,10,6.67,10,3.33,10,10,5,1,1,1,0,1,1,1,1,1,1,1,70.4,90,76.33012811,B+
82,0,96,0,0,0,0,0,41.66666667,97.5,25,70,0,2,2,0,5,6.66666,3.33,10,3.33,0,0,7.5,1,1,0,0,0,1,1,1,1,0,1,65.6,87.27272727,78.32232606,C
75,77.27272727,95,0,0,96,80,63.33333333,83.33333333,95,78.33333333,78.33333333,90,5,0,4.545454545,4.5,10,3.33,10,10,0,10,7.5,0,1,1,0,1,0,1,1,1,1,1,75.8,89.09090909,81.21483409,B
85,77.27272727,97,100,0,92,91.66666667,83.33333333,90,95,97.225,91.66666667,84.16666667,8,1,3.636363636,7,10,6.67,10,10,10,10,10,1,1,1,1,1,1,1,1,1,0,0,78.1,90.90909091,75.06041174,A-
91,90.90909091,100,100,100,96,100,98.33333333,94.16666667,100,100,93.75,93.33333333,7,0,0.909090909,6.5,10,6.67,10,10,10,10,10,1,1,1,0,1,0,1,1,1,1,1,73.1,90.90909091,84.81620186,A
98,100,100,100,100,98,91.66666667,93.33333333,100,100,92.5,100,96.66666667,8,6,8.181818182,9.5,10,10,10,6.67,10,10,5,1,1,0,1,1,0,0,1,1,1,0,88.6,90.90909091,82.56620186,A
87,100,100,100,100,97,100,91.66666667,95,95,97.225,100,100,0,8,5.454545455,6,10,6.67,10,6.67,5,10,7.5,1,1,1,1,1,1,1,1,1,1,1,78.1,90.90909091,75.59676685,A-
81,0,100,100,100,98,0,35,40.5,100,97.5,92.5,93.33333333,8,5,1.818181818,5.5,10,0,10,0,10,10,10,0,0,0,0,0,0,0,1,1,0,0,81.2,90.90909091,59.70742753,C+
92,0,100,0,0,0,50,81.66666667,0,50,0,0,0,9,3,0,4.5,10,0,10,0,7.5,10,10,0,0,1,0,0,0,0,0,0,0,0,69.3,90.90909091,48.22297975,D
82,59.09090909,100,0,100,95,70,53.33333333,91.66666667,100,88.89166667,100,84.16666667,8,4,8.181818182,5.5,10,0,10,10,10,10,10,1,1,1,1,0,1,1,1,0,1,1,78.1,95.45454545,87.07351519,A-
